STEPS	|   PROCESS			|  A	|  B  |
384	|  POURING A TO B 		|  23025	|  2999  |
385	|  EMPTYING B 			|  23025	|  0  |
386	|  POURING A TO B 		|  20026	|  2999  |
387	|  EMPTYING B 			|  20026	|  0  |
388	|  POURING A TO B 		|  17027	|  2999  |
389	|  EMPTYING B 			|  17027	|  0  |
390	|  POURING A TO B 		|  14028	|  2999  |
391	|  EMPTYING B 			|  14028	|  0  |
392	|  POURING A TO B 		|  11029	|  2999  |
393	|  EMPTYING B 			|  11029	|  0  |
394	|  POURING A TO B 		|  8030	|  2999  |
395	|  EMPTYING B 			|  8030	|  0  |
396	|  POURING A TO B 		|  5031	|  2999  |
397	|  EMPTYING B 			|  5031	|  0  |
398	|  POURING A TO B 		|  2032	|  2999  |
399	|  EMPTYING B 			|  2032	|  0  |
400	|  POURING A TO B 		|  0	|  2032  |
401	|  FILLING A FULLY		|  39989	|  2032  |
402	|  POURING A TO B 		|  39022	|  2999  |
403	|  EMPTYING B 			|  39022	|  0  |
404	|  POURING A TO B 		|  36023	|  2999  |
405	|  EMPTYING B 			|  36023	|  0  |
406	|  POURING A TO B 		|  33024	|  2999  |
407	|  EMPTYING B 			|  33024	|  0  |
408	|  POURING A TO B 		|  30025	|  2999  |
409	|  EMPTYING B 			|  30025	|  0  |
410	|  POURING A TO B 		|  27026	|  2999  |
411	|  EMPTYING B 			|  27026	|  0  |
412	|  POURING A TO B 		|  24027	|  2999  |
413	|  EMPTYING B 			|  24027	|  0  |
414	|  POURING A TO B 		|  21028	|  2999  |
415	|  EMPTYING B 			|  21028	|  0  |
416	|  POURING A TO B 		|  18029	|  2999  |
417	|  EMPTYING B 			|  18029	|  0  |
418	|  POURING A TO B 		|  15030	|  2999  |
419	|  EMPTYING B 			|  15030	|  0  |
420	|  POURING A TO B 		|  12031	|  2999  |
421	|  EMPTYING B 			|  12031	|  0  |
422	|  POURING A TO B 		|  9032	|  2999  |
423	|  EMPTYING B 			|  9032	|  0  |
424	|  POURING A TO B 		|  6033	|  2999  |
425	|  EMPTYING B 			|  6033	|  0  |
426	|  POURING A TO B 		|  3034	|  2999  |
427	|  EMPTYING B 			|  3034	|  0  |
428	|  POURING A TO B 		|  35	|  2999  |
429	|  EMPTYING B 			|  35	|  0  |
430	|  POURING A TO B 		|  0	|  35  |
431	|  FILLING A FULLY		|  39989	|  35  |
432	|  POURING A TO B 		|  37025	|  2999  |
433	|  EMPTYING B 			|  37025	|  0  |
434	|  POURING A TO B 		|  34026	|  2999  |
435	|  EMPTYING B 			|  34026	|  0  |
436	|  POURING A TO B 		|  31027	|  2999  |
437	|  EMPTYING B 			|  31027	|  0  |
438	|  POURING A TO B 		|  28028	|  2999  |
439	|  EMPTYING B 			|  28028	|  0  |
440	|  POURING A TO B 		|  25029	|  2999  |
441	|  EMPTYING B 			|  25029	|  0  |
442	|  POURING A TO B 		|  22030	|  2999  |
443	|  EMPTYING B 			|  22030	|  0  |
444	|  POURING A TO B 		|  19031	|  2999  |
445	|  EMPTYING B 			|  19031	|  0  |
446	|  POURING A TO B 		|  16032	|  2999  |
447	|  EMPTYING B 			|  16032	|  0  |
448	|  POURING A TO B 		|  13033	|  2999  |
449	|  EMPTYING B 			|  13033	|  0  |
450	|  POURING A TO B 		|  10034	|  2999  |
451	|  EMPTYING B 			|  10034	|  0  |
452	|  POURING A TO B 		|  7035	|  2999  |
453	|  EMPTYING B 			|  7035	|  0  |
454	|  POURING A TO B 		|  4036	|  2999  |
455	|  EMPTYING B 			|  4036	|  0  |
456	|  POURING A TO B 		|  1037	|  2999  |
457	|  EMPTYING B 			|  1037	|  0  |
458	|  POURING A TO B 		|  0	|  1037  |
459	|  FILLING A FULLY		|  39989	|  1037  |
460	|  POURING A TO B 		|  38027	|  2999  |
461	|  EMPTYING B 			|  38027	|  0  |
462	|  POURING A TO B 		|  35028	|  2999  |
463	|  EMPTYING B 			|  35028	|  0  |
464	|  POURING A TO B 		|  32029	|  2999  |
465	|  EMPTYING B 			|  32029	|  0  |
466	|  POURING A TO B 		|  29030	|  2999  |
467	|  EMPTYING B 			|  29030	|  0  |
468	|  POURING A TO B 		|  26031	|  2999  |
469	|  EMPTYING B 			|  26031	|  0  |
470	|  POURING A TO B 		|  23032	|  2999  |
471	|  EMPTYING B 			|  23032	|  0  |
472	|  POURING A TO B 		|  20033	|  2999  |
473	|  EMPTYING B 			|  20033	|  0  |
474	|  POURING A TO B 		|  17034	|  2999  |
475	|  EMPTYING B 			|  17034	|  0  |
476	|  POURING A TO B 		|  14035	|  2999  |
477	|  EMPTYING B 			|  14035	|  0  |
478	|  POURING A TO B 		|  11036	|  2999  |
479	|  EMPTYING B 			|  11036	|  0  |
480	|  POURING A TO B 		|  8037	|  2999  |
481	|  EMPTYING B 			|  8037	|  0  |
482	|  POURING A TO B 		|  5038	|  2999  |
483	|  EMPTYING B 			|  5038	|  0  |
484	|  POURING A TO B 		|  2039	|  2999  |
485	|  EMPTYING B 			|  2039	|  0  |
486	|  POURING A TO B 		|  0	|  2039  |
487	|  FILLING A FULLY		|  39989	|  2039  |
488	|  POURING A TO B 		|  39029	|  2999  |
489	|  EMPTYING B 			|  39029	|  0  |
490	|  POURING A TO B 		|  36030	|  2999  |
491	|  EMPTYING B 			|  36030	|  0  |
492	|  POURING A TO B 		|  33031	|  2999  |
493	|  EMPTYING B 			|  33031	|  0  |
494	|  POURING A TO B 		|  30032	|  2999  |
495	|  EMPTYING B 			|  30032	|  0  |
496	|  POURING A TO B 		|  27033	|  2999  |
497	|  EMPTYING B 			|  27033	|  0  |
498	|  POURING A TO B 		|  24034	|  2999  |
499	|  EMPTYING B 			|  24034	|  0  |
500	|  POURING A TO B 		|  21035	|  2999  |
501	|  EMPTYING B 			|  21035	|  0  |
502	|  POURING A TO B 		|  18036	|  2999  |
503	|  EMPTYING B 			|  18036	|  0  |
504	|  POURING A TO B 		|  15037	|  2999  |
505	|  EMPTYING B 			|  15037	|  0  |
506	|  POURING A TO B 		|  12038	|  2999  |
507	|  EMPTYING B 			|  12038	|  0  |
508	|  POURING A TO B 		|  9039	|  2999  |
509	|  EMPTYING B 			|  9039	|  0  |
510	|  POURING A TO B 		|  6040	|  2999  |
511	|  EMPTYING B 			|  6040	|  0  |
512	|  POURING A TO B 		|  3041	|  2999  |
513	|  EMPTYING B 			|  3041	|  0  |
514	|  POURING A TO B 		|  42	|  2999  |
515	|  EMPTYING B 			|  42	|  0  |
516	|  POURING A TO B 		|  0	|  42  |
517	|  FILLING A FULLY		|  39989	|  42  |
518	|  POURING A TO B 		|  37032	|  2999  |
519	|  EMPTYING B 			|  37032	|  0  |
520	|  POURING A TO B 		|  34033	|  2999  |
521	|  EMPTYING B 			|  34033	|  0  |
522	|  POURING A TO B 		|  31034	|  2999  |
523	|  EMPTYING B 			|  31034	|  0  |
524	|  POURING A TO B 		|  28035	|  2999  |
525	|  EMPTYING B 			|  28035	|  0  |
526	|  POURING A TO B 		|  25036	|  2999  |
